deputado_nome,106071-101,106071-138,109175-70,113716-111,113716-267,113717-114,113717-142,113717-152,113717-171,113717-181,113717-184,113717-189,113717-194,113717-197,113717-200,113717-202,113717-204,113717-230,113717-250,113717-295,113717-59,113717-95,115155-58,120186-63,120186-68,125572-116,125572-186,125572-187,126541-150,126541-68,126541-98,140174-133,140174-83,140375-132,140375-143,140406-31,142458-51,142458-64,14312-64,14312-65,14312-81,143282-5,145211-10,14614-68,14614-90,14692-79,14720-100,14720-74,14809-111,14809-120,14809-130,14809-139,14832-101,149095-73,150357-107,150357-52,150357-60,150357-80,150358-37,150359-100,150373-73,150373-84,150399-106,150399-149,150399-186,150399-189,150399-195,150410-48,150410-67,150930-5,151030-5,153730-20,153730-36,153730-70,154096-7,154465-44,154528-107,154528-119,154528-49,154528-68,154538-23,154538-56,154539-48,158197-54,158197-71,159554-31,21391-47,21585-100,251072-105,251072-21,251072-39,251072-48,251120-102,251120-49,251120-67,251120-72,251120-82,252929-5,252972-101,253166-4,253982-5,257781-20,257781-83,258267-45,258595-57,259400-34,259613-39,260897-117,260897-85,260950-69,261022-75,261463-71,262198-121,262198-72,262198-78,262198-98,262712-78,270567-33,272146-35,272914-37,273823-7,275322-252,277133-117,277133-62,277133-92,279507-70,279543-44,282740-145,282740-42,282740-60,282740-61,282740-90,282740-97,28376-68,284448-64,284567-45,284567-58,285867-88,286611-39,289038-29,289038-37,289945-69,290460-54,290460-77,292328-188,292328-204,292729-64,294427-54,294428-42,294429-110,294429-133,294429-160,294429-179,294429-56,294429-70,294429-95,294430-56,294430-81,298221-71,298990-146,298990-78,301190-6,303307-48,304792-37,307822-63,307925-109,307925-77,307925-88,308633-29,310833-66,310833-87,311012-25,311025-33,311031-112,311031-134,311031-48,311031-76,311039-54,311039-65,313522-23,313522-41,313707-67,314558-32,314558-57,314558-67,314558-94,314559-59,316491-51,316491-75,316493-55,316493-77,318828-40,319342-53,319342-77,319342-92,320786-45,32147-56,328072-6,332482-60,334677-30,335039-55,36162-83,43733-12,56373-83,56373-84,56373-95,97884-50,97884-59,97884-75
Marcus Vicente,1.0,,1.0,1.0,1.0,,0.0,,0.0,1.0,,1.0,,,0.0,0.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,0.0,,,1.0,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,,0.0,,,,0.0,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,1.0,0.0,,1.0,,,1.0,,1.0,1.0,1.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,0.0,1.0,,1.0,,,0.0,0.0,0.0,,0.0,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0,,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,
Maria Helena,1.0,,1.0,1.0,1.0,0.0,,,0.0,1.0,1.0,1.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,,,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,,,1.0,,1.0,0.0,,,1.0,,,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,1.0
Maria Lucia,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,0.0,,,,0.0,,,0.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,0.0,,,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,,0.0,,1.0,,,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,1.0,1.0
Maria Lúcia Cardoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,0.0,,0.0,,,1.0,0.0,,,0.0,,,,1.0,,,1.0,1.0,,0.0,0.0,1.0,,,,0.0,0.0,,0.0,,1.0,0.0,1.0,,0.0,,0.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,
Maria do Carmo Lara,1.0,1.0,,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,1.0,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,,,,,,,0.0,,0.0,0.0,,0.0,,,,1.0,1.0,0.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0
Maria do Rosário,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.0,,,,0.0,1.0,1.0,0.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,,,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,,,,1.0,1.0,1.0,1.0,,,,1.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,1.0,,0.0,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,,0.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,1.0,,,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,,1.0,1.0,
Marinha Raupp,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,,0.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1.0,0.0,,,,,,,,0.0,,0.0,1.0,,0.0,,0.0,0.0,,,,1.0,0.0,,1.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,1.0,,,,0.0,,1.0,0.0,,,1.0,0.0,0.0,,,,,,1.0,1.0,,,,0.0,,,,,1.0,,1.0,1.0,,0.0,,,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,,,,,,,,0.0,,0.0,,1.0,0.0,,,,,,,,,,,1.0,,0.0,,,1.0,1.0,0.0,,,1.0,,,0.0,1.0,1.0,1.0,1.0,
Mariângela Duarte,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,,,0.0,1.0,0.0,,,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,1.0,,1.0,1.0,0.0,,1.0,0.0,1.0,,,0.0,0.0,1.0,1.0,1.0
Mauro Benevides,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,1.0,1.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,0.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0
Mauro Lopes,1.0,,,1.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0,,,,1.0,,,1.0,,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,,0.0,,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,,1.0,,,,,,,0.0,,0.0,,1.0,,,0.0,1.0,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,1.0,1.0,1.0,0.0,,,1.0,,,0.0,0.0,,1.0,,,0.0,0.0,1.0,0.0,,0.0,,,1.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,1.0,,,,,0.0,,1.0,,,,,1.0,,1.0,0.0,,1.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,,,0.0,,,,0.0,1.0,,0.0,,0.0,,,,1.0,0.0,,0.0,0.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0
Mauro Passos,1.0,1.0,1.0,,,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,1.0,,,0.0,1.0,0.0,1.0,,,,,,1.0,1.0,,,1.0,0.0,1.0,,0.0,,0.0,1.0,,1.0,,0.0,,,1.0,1.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,,,,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,,,1.0,,,1.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Maurício Quintella Lessa,1.0,1.0,,1.0,1.0,,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,,1.0,,,1.0,,,0.0,,,,,,,,1.0,1.0,0.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,0.0,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,0.0,1.0,0.0,,,,1.0,,1.0,0.0,1.0,,0.0,,,,,,,,,,0.0,1.0,1.0,,,1.0,,0.0,1.0,,,,1.0,0.0,,,,,1.0,,1.0,0.0,1.0,1.0,,,
Maurício Rabelo,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,0.0,,,1.0,0.0,1.0,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,,,,,1.0,1.0,,,,,0.0,0.0,,,,,,1.0,1.0,,,1.0,0.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0
Maurício Rands,1.0,,,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,0.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,0.0,,1.0,,0.0,0.0,1.0,0.0,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,0.0,1.0,,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,,0.0,,1.0,,,0.0,0.0,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,,0.0,,1.0,0.0,1.0,,1.0,1.0,1.0,,,0.0,1.0,,0.0,,0.0,,,0.0,1.0,,1.0,,0.0,,,,1.0,0.0,1.0,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Max Rosenmann,,,,1.0,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,0.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,,,,,,0.0,,,1.0,,0.0,1.0,0.0,0.0,1.0,,,,,,1.0,1.0,,0.0,0.0,0.0,,0.0,,0.0,,,,1.0,,1.0,1.0,0.0,,1.0,0.0,0.0,,,1.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,1.0,,1.0,,,,1.0,0.0,1.0,1.0,,,,,1.0,0.0,1.0,1.0,,,
Medeiros,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,0.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,0.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0,,,,0.0,,,1.0,0.0,,,,,1.0,1.0,,,,0.0,,,,,0.0,1.0,,0.0,,,0.0,0.0,1.0,1.0,1.0,,,,,,0.0,1.0,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,1.0,0.0,,1.0,,,,,,,,,,,,,,1.0,,,,0.0,,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,0.0,,,1.0,,,0.0,0.0,,,1.0,,,0.0,0.0,,,,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,,,0.0,1.0,1.0,,1.0,1.0,,,
Mendes Ribeiro Filho,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,,,,0.0,,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,,,,1.0,0.0,0.0,,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,,,,,1.0,0.0,,,,0.0,,1.0,1.0,0.0,1.0,1.0,,,,1.0,0.0,1.0,,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,1.0,,,0.0,1.0,1.0,1.0,,1.0,,1.0,,0.0,,,0.0,1.0,0.0,,,1.0,1.0,,,1.0,,1.0,,0.0,,1.0,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,0.0,,,0.0,1.0,,0.0,0.0,,0.0,1.0,0.0,1.0,,1.0,0.0,,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Mendonça Prado,,,,1.0,1.0,,,,,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,0.0,,,,,,,,,,0.0,1.0,,0.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,,,0.0,1.0,0.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0
Michel Temer,1.0,1.0,,1.0,1.0,,0.0,,,1.0,1.0,,,,,,,,0.0,,,,,1.0,0.0,1.0,,,,1.0,,0.0,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,0.0,,1.0,,1.0,0.0,,,,,1.0,1.0,,,1.0,1.0,,,,0.0,1.0,0.0,,,0.0,1.0,,,,,,,1.0,,1.0,0.0,1.0,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,1.0,,,1.0,,0.0,0.0,,,1.0,,,,1.0,,0.0,,,,,,,1.0,,,,0.0,,0.0,,0.0,,,,,,0.0,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,0.0,,,,,0.0,,1.0,,,,,,1.0,,,0.0,,0.0,1.0,,,,1.0,,,0.0,1.0,1.0,,,1.0
Miguel Arraes,,,,1.0,1.0,0.0,,,,1.0,1.0,,0.0,,,,,1.0,,0.0,,,,,,,,,,1.0,,,,,,,,,0.0,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Miguel de Souza,1.0,1.0,,1.0,1.0,0.0,,1.0,,1.0,1.0,,,,,,0.0,,0.0,,1.0,0.0,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,,,0.0,0.0,,,1.0,,,,1.0,0.0,0.0,,,,1.0,1.0,,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,,0.0,1.0,,0.0,1.0,,,0.0,0.0,,,,1.0,0.0,,0.0,,,,0.0,,1.0,,0.0,0.0,,1.0,,1.0,,1.0,1.0,,,
Milton Barbosa,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,0.0,1.0,,,1.0,,,,1.0,,,,,,,,0.0,,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,0.0,,,1.0,1.0,,,,,,,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,1.0,1.0,,0.0,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,0.0,,,,1.0,,0.0,1.0,1.0,1.0,1.0,1.0
